이름,날짜,태그
4회차 회합,"April 6, 2023",
MT,"March 31, 2023 → April 1, 2023",
3회차 회합,"March 30, 2023",
2회차 회합,"March 23, 2023",
1회차 회합,"March 16, 2023",
OT,"March 9, 2023",
계절학기,"June 23, 2023 → July 13, 2023",
종강 파티,"June 24, 2023 → June 25, 2023",
8회차 회합,"June 1, 2023",
7회차 회합,"May 18, 2023",
6회차 회합,"May 11, 2023",
5회차 회합,"May 4, 2023",
방학 회합 4회차,"August 24, 2023",
방학 회합 3회차,"August 17, 2023",
방학 회합 2회차,"August 10, 2023",
방학 회합 1회차,"August 3, 2023",
1주차 회합,"September 14, 2023",
5주차 회합,"November 16, 2023",
4주차 회합,"November 9, 2023",
3주차 회합,"November 2, 2023",
HAYAKU 컨퍼런스,"September 23, 2023",
홈커밍데이,"December 23, 2023",
겨울 계절 학기,"December 22, 2023 → January 15, 2024",
2학기 OT,"September 7, 2023",
6주차 회합,"November 23, 2023",
2주차 회합,"September 21, 2023",
정기회합,"May 19, 2022",
정기회합,"April 7, 2022",
6시 정기회합,"May 26, 2022",
정기회합,"May 12, 2022",
커리어 세미나,"May 28, 2022",
세미나,"April 7, 2022",
정기회합,"March 31, 2022",
정기회합,"June 2, 2022",
정기회합,"March 24, 2022",